03-06-2020,184121,8602,167453,Germany
04-06-2020,184472,8635,167909,Germany
05-06-2020,184924,8658,168480,Germany
06-06-2020,185450,8673,168958,Germany
07-06-2020,185750,8685,169224,Germany
08-06-2020,186109,8695,169556,Germany
09-06-2020,186506,8736,170129,Germany
10-06-2020,186522,8752,170630,Germany
11-06-2020,186691,8772,170961,Germany
12-06-2020,187226,8783,171535,Germany
13-06-2020,187267,8793,171970,Germany
14-06-2020,187518,8801,172089,Germany
15-06-2020,187682,8807,172692,Germany
16-06-2020,188252,8820,172842,Germany
17-06-2020,188604,8851,173599,Germany
18-06-2020,189817,8875,173847,Germany
19-06-2020,190299,8887,173972,Germany
20-06-2020,190670,8895,174609,Germany
21-06-2020,191272,8895,174740,Germany
22-06-2020,191768,8899,175143,Germany
23-06-2020,192480,8914,175825,Germany
24-06-2020,192871,8928,176422,Germany
25-06-2020,193371,8940,176764,Germany
26-06-2020,194036,8965,177149,Germany
27-06-2020,194458,8968,177518,Germany
28-06-2020,194693,8968,177657,Germany
29-06-2020,195042,8976,177770,Germany
30-06-2020,195418,8990,178100,Germany
01-07-2020,195893,8995,179100,Germany
02-07-2020,196370,9006,179800,Germany
03-07-2020,196780,9010,180300,Germany
04-07-2020,197198,9020,181000,Germany
05-07-2020,197523,9023,181719,Germany
06-07-2020,198064,9022,182160,Germany
07-07-2020,198343,9032,182661,Germany
08-07-2020,198699,9046,183153,Germany
09-07-2020,199001,9057,183728,Germany
10-07-2020,199332,9063,184028,Germany
11-07-2020,199709,9070,184266,Germany
12-07-2020,199919,9071,184414,Germany
13-07-2020,200180,9074,185100,Germany
14-07-2020,200456,9078,185100,Germany
15-07-2020,200890,9080,186000,Germany
16-07-2020,201450,9087,186400,Germany
17-07-2020,202045,9088,186900,Germany
18-07-2020,202426,9091,187200,Germany
19-07-2020,202735,9092,187400,Germany
20-07-2020,203325,9094,188070,Germany
21-07-2020,203717,9099,188221,Germany
22-07-2020,204276,9102,188628,Germany
23-07-2020,204881,9110,189140,Germany
24-07-2020,205623,9120,189696,Germany
25-07-2020,206278,9124,189919,Germany
26-07-2020,206667,9124,190055,Germany
27-07-2020,207112,9125,190314,Germany
